id,Coordx,Coordy,riesgo
366,-103.3938141,20.63546562,Sin riesgo
367,-103.2456207,20.62727547,Sin riesgo
368,-103.3746373,20.6667586,Poco riesgo
369,-103.3151932,20.72730255,Riesgo moderado
370,-103.3910141,20.66643143,Poco riesgo
371,-103.355072,20.7070961,Sin riesgo
372,-103.2967987,20.71122932,Sin riesgo
373,-103.3063049,20.6909256,Poco riesgo
374,-103.3666534,20.73561668,Sin riesgo
375,-103.3688812,20.67888832,Riesgo moderado
376,-103.4729767,20.54269791,Poco riesgo
377,-103.364563,20.74044609,Sin riesgo
378,-103.3601303,20.54199028,Sin riesgo
379,-103.3689804,20.72258759,Poco riesgo
380,-103.357605,20.50803375,Poco riesgo
382,-103.3232422,20.69380569,Riesgo moderado
383,-103.4097366,20.66861725,Poco riesgo
384,-103.419014,20.72473145,Sin riesgo
385,-103.2724991,20.64844322,Poco riesgo
386,-103.3915176,20.65515709,Sin riesgo
388,-103.2508087,20.65890884,Riesgo moderado
389,-103.3280411,20.60803032,Alto riesgo
390,-103.4373627,20.5990448,Sin riesgo
391,-103.2394104,20.60116959,Alto riesgo
392,-103.2642822,20.6858387,Sin riesgo
393,-103.3527674,20.6572816,Alto riesgo
394,-103.3523712,20.67724037,Sin riesgo
395,-103.3695526,20.72619438,Sin riesgo
396,-103.2621307,20.68457413,Sin riesgo
397,-103.3787613,20.63098717,Riesgo moderado
400,-103.4001436,20.5968377,Alto riesgo
403,-103.311142,20.69176865,Alto riesgo
404,-103.373909,20.62374687,Poco riesgo
405,-103.2476472,20.438574,Alto riesgo
406,-103.4278256,20.5557143,Alto riesgo
407,-103.4235992,20.67331696,Sin riesgo
408,-103.4455551,20.4734592,Riesgo moderado
409,-103.3638306,20.57391548,Riesgo moderado
410,-103.3799744,20.67561722,Sin riesgo
411,-103.3082657,20.72208786,Poco riesgo
412,-103.3070823,20.7218574,Poco riesgo
413,-103.4360886,20.63075829,Sin riesgo
415,-103.409729,20.73337364,Sin riesgo
416,-103.3548355,20.71327209,Sin riesgo
417,-103.4530106,20.71201515,Sin riesgo
418,-103.3669128,20.65041733,Sin riesgo
419,-103.347023,20.62309456,Riesgo moderado
420,-103.3296967,20.64616394,Sin riesgo
422,-103.2758026,20.65977287,Poco riesgo
423,-103.3672028,20.67234039,Sin riesgo
424,-103.3153,20.69260406,Poco riesgo
425,-103.2481308,20.61882591,Sin riesgo
426,-103.359375,20.67167473,Sin riesgo
427,-103.3708038,20.68502808,Alto riesgo
428,-103.2908968,20.5264853,Alto riesgo
429,-103.3239136,20.70812988,Poco riesgo
430,-103.3120651,20.6773777,Poco riesgo
431,-103.3819199,20.68258476,Sin riesgo
432,-103.261261,20.67692375,Sin riesgo
433,-103.310463,20.68942833,Sin riesgo
434,-103.3397153,20.5813545,Riesgo moderado
435,-103.3557892,20.74369049,Sin riesgo
436,-103.4047546,20.7317791,Sin riesgo
438,-103.3347092,20.67949295,Sin riesgo
439,-103.352272,20.68185234,Sin riesgo
440,-103.3892599,20.7407909,Sin riesgo
441,-103.4511261,20.76652527,Sin riesgo
442,-103.2766647,20.66537285,Sin riesgo
443,-103.3466034,20.67731285,Sin riesgo
444,-103.3428116,20.61523628,Poco riesgo
445,-103.4488678,20.62972832,Sin riesgo
446,-103.3970566,20.73345947,Alto riesgo
447,-103.3450699,20.7215023,Sin riesgo
448,-103.2807007,20.66594887,Riesgo moderado
