id,Coordx,Coordy,riesgo
222,-103.33219,20.584494,Riesgo moderado
223,-103.3669128,20.65041733,Poco riesgo
225,-103.4269791,20.6882019,Riesgo moderado
226,-103.3462524,20.67051315,Poco riesgo
227,-103.3377228,20.60628128,Riesgo moderado
228,-103.437355,20.62371635,Riesgo moderado
229,-103.299444,20.645389,Poco riesgo
230,-103.3602142,20.62887383,Poco riesgo
231,-103.3347092,20.5988884,Poco riesgo
233,-103.2810059,20.66423607,Riesgo moderado
234,-103.324501,20.72299576,Poco riesgo
235,-103.3771744,20.62438393,Sin riesgo
236,-103.3211517,20.64693451,Poco riesgo
237,-103.4591241,20.7130126,Riesgo moderado
238,-103.44742,20.744482,Poco riesgo
239,-103.447796,20.743657,Riesgo moderado
240,-103.3679256,20.6322395,Riesgo moderado
241,-103.4194641,20.74332237,Riesgo moderado
242,-103.3091125,20.67419624,Poco riesgo
243,-103.429312,20.632024,Riesgo moderado
244,-103.3660431,20.66988182,Poco riesgo
245,-103.3097687,20.66640663,Poco riesgo
246,-103.3650818,20.67610359,Poco riesgo
247,-103.4227066,20.62129593,Poco riesgo
248,-103.3880005,20.67326546,Poco riesgo
249,-103.2624435,20.62907028,Riesgo moderado
250,-103.3903656,20.6795063,Poco riesgo
251,-103.4233398,20.73429108,Riesgo moderado
252,-103.4609528,20.64211464,Riesgo moderado
253,-103.3165891,20.5752694,Alto riesgo
254,-103.4550041,20.4812712,Riesgo moderado
256,-103.2743988,20.59361649,Poco riesgo
257,-103.3098602,20.69374847,Riesgo moderado
259,-103.355835,20.7422657,Riesgo moderado
260,-103.3883057,20.70973778,Riesgo moderado
261,-103.3990402,20.65082169,Poco riesgo
262,-103.3829041,20.64947891,Riesgo moderado
264,-103.4273029,20.8532469,Poco riesgo
265,-103.3557587,20.5727787,Poco riesgo
266,-103.3529205,20.69418526,Poco riesgo
268,-103.3806458,20.67948723,Poco riesgo
269,-103.3786087,20.6893158,Sin riesgo
270,-103.4524002,20.69915962,Poco riesgo
271,-103.2773438,20.66048241,Riesgo moderado
272,-103.3153687,20.60870171,Poco riesgo
275,-103.3810043,20.63205147,Poco riesgo
276,-103.308075,20.68908691,Poco riesgo
277,-103.3076477,20.64195442,Poco riesgo
279,-103.2994919,20.69570923,Poco riesgo
280,-103.3607635,20.69334221,Riesgo moderado
281,-103.435379,20.68173027,Poco riesgo
282,-103.3163376,20.64968109,Poco riesgo
283,-103.3406601,20.60936356,Poco riesgo
284,-103.3761826,20.70283127,Poco riesgo
286,-103.306104,20.648629,Poco riesgo
287,-103.4061661,20.64614868,Poco riesgo
288,-103.3175583,20.65563393,Poco riesgo
289,-103.415329,20.6918354,Poco riesgo
291,-103.3400989,20.6502276,Riesgo moderado
292,-103.3474503,20.7035923,Poco riesgo
293,-103.454044,20.555522,Riesgo moderado
294,-103.3637161,20.66218758,Poco riesgo
295,-103.3676758,20.63219261,Riesgo moderado
296,-103.3550186,20.69934464,Poco riesgo
297,-103.4526291,20.766819,Poco riesgo
298,-103.2768707,20.60447884,Poco riesgo
299,-103.3593597,20.67034149,Poco riesgo
300,-103.4413452,20.63021851,Poco riesgo
301,-103.4189529,20.72478676,Alto riesgo
302,-103.3607539,20.6624771,Poco riesgo
303,-103.4107437,20.62729073,Poco riesgo
304,-103.3983994,20.74594116,Poco riesgo
305,-103.2864914,20.59971619,Poco riesgo
306,-103.3238373,20.62727165,Poco riesgo
307,-103.4526987,20.6694789,Alto riesgo
308,-103.2943344,20.68035126,Poco riesgo
309,-103.3726425,20.65613747,Poco riesgo
310,-103.3177338,20.66382599,Sin riesgo
311,-103.4513092,20.61774635,Riesgo moderado
312,-103.2727509,20.68844986,Poco riesgo
313,-103.4577179,20.6486187,Riesgo moderado
314,-103.3846817,20.64454651,Riesgo moderado
315,-103.3538208,20.71927261,Poco riesgo
316,-103.2918445,20.6629847,Poco riesgo
317,-103.3329926,20.58906174,Poco riesgo
318,-103.3694505,20.679276,Poco riesgo
320,-103.3516464,20.67141151,Poco riesgo
321,-103.3720627,20.66534805,Poco riesgo
322,-103.3625031,20.7337513,Riesgo moderado
323,-103.2760468,20.66856384,Riesgo moderado
324,-103.2522442,20.525013,Alto riesgo
325,-103.3538818,20.74462128,Poco riesgo
326,-103.3008041,20.65535164,Riesgo moderado
327,-103.2455292,20.62725067,Riesgo moderado
328,-103.2893448,20.66417122,Poco riesgo
329,-103.4312286,20.66966248,Riesgo moderado
330,-103.3763046,20.62420273,Riesgo moderado
331,-103.3404083,20.68199539,Poco riesgo
332,-103.4270401,20.67337036,Riesgo moderado
333,-103.3428639,20.6683444,Poco riesgo
334,-103.283783,20.68387604,Poco riesgo
335,-103.2786789,20.6529026,Riesgo moderado
336,-103.2557449,20.62694168,Poco riesgo
337,-103.3153229,20.67378426,Poco riesgo
338,-103.3637009,20.68483162,Poco riesgo
339,-103.2420289,20.4957771,Alto riesgo
340,-103.3327103,20.66248512,Poco riesgo
342,-103.2699814,20.64919472,Riesgo moderado
343,-103.3395462,20.63952637,Riesgo moderado
344,-103.3740311,20.71342659,Poco riesgo
345,-103.3013819,20.6553983,Riesgo moderado
346,-103.3259577,20.59567,Alto riesgo
347,-103.2976462,20.535263,Alto riesgo
348,-103.4337769,20.62541962,Riesgo moderado
349,-103.371582,20.67136574,Poco riesgo
351,-103.4629211,20.78166962,Poco riesgo
352,-103.3560257,20.65926743,Poco riesgo
353,-103.4306183,20.67278481,Riesgo moderado
354,-103.4488678,20.62972832,Poco riesgo
355,-103.3322449,20.58480263,Poco riesgo
356,-103.3234863,20.68539238,Poco riesgo
357,-103.3575401,20.676123,Poco riesgo
358,-103.3434219,20.65293121,Poco riesgo
359,-103.3137223,20.6578202,Poco riesgo
360,-103.4349672,20.6166622,Poco riesgo
361,-103.4383767,20.7635297,Poco riesgo
362,-103.3043618,20.6258522,Poco riesgo
363,-103.3004074,20.69367981,Poco riesgo
364,-103.368103,20.7357235,Riesgo moderado
365,-103.3497162,20.64326859,Riesgo moderado
366,-103.3938141,20.63546562,Riesgo moderado
367,-103.2456207,20.62727547,Poco riesgo
368,-103.3746373,20.6667586,Poco riesgo
369,-103.3151932,20.72730255,Poco riesgo
370,-103.3910141,20.66643143,Poco riesgo
371,-103.355072,20.7070961,Poco riesgo
372,-103.2967987,20.71122932,Riesgo moderado
373,-103.3063049,20.6909256,Riesgo moderado
374,-103.3666534,20.73561668,Riesgo moderado
375,-103.3688812,20.67888832,Poco riesgo
376,-103.4729767,20.54269791,Alto riesgo
377,-103.364563,20.74044609,Riesgo moderado
378,-103.3601303,20.54199028,Riesgo moderado
379,-103.3689804,20.72258759,Riesgo moderado
380,-103.357605,20.50803375,Riesgo moderado
382,-103.3232422,20.69380569,Poco riesgo
383,-103.4097366,20.66861725,Poco riesgo
384,-103.419014,20.72473145,Riesgo moderado
385,-103.2724991,20.64844322,Riesgo moderado
386,-103.3915176,20.65515709,Poco riesgo
388,-103.2508087,20.65890884,Riesgo moderado
389,-103.3280411,20.60803032,Alto riesgo
390,-103.4373627,20.5990448,Poco riesgo
391,-103.2394104,20.60116959,Alto riesgo
392,-103.2642822,20.6858387,Riesgo moderado
393,-103.3527674,20.6572816,Poco riesgo
394,-103.3523712,20.67724037,Sin riesgo
395,-103.3695526,20.72619438,Riesgo moderado
396,-103.2621307,20.68457413,Riesgo moderado
397,-103.3787613,20.63098717,Poco riesgo
400,-103.4001436,20.5968377,Alto riesgo
401,-103.4032592,20.6248173,Poco riesgo
403,-103.311142,20.69176865,Poco riesgo
404,-103.373909,20.62374687,Riesgo moderado
405,-103.2476472,20.438574,Alto riesgo
406,-103.4278256,20.5557143,Alto riesgo
407,-103.4235992,20.67331696,Poco riesgo
408,-103.4455551,20.4734592,Poco riesgo
409,-103.3638306,20.57391548,Poco riesgo
410,-103.3799744,20.67561722,Poco riesgo
411,-103.3082657,20.72208786,Riesgo moderado
412,-103.3070823,20.7218574,Riesgo moderado
413,-103.4360886,20.63075829,Riesgo moderado
415,-103.409729,20.73337364,Riesgo moderado
416,-103.3548355,20.71327209,Sin riesgo
417,-103.4530106,20.71201515,Riesgo moderado
418,-103.3669128,20.65041733,Poco riesgo
419,-103.347023,20.62309456,Riesgo moderado
