id,Coordy,Coordx,riesgo
259,20.7422657,-103.355835,Riesgo moderado
260,20.70973778,-103.3883057,Riesgo moderado
261,20.65082169,-103.3990402,Poco riesgo
262,20.64947891,-103.3829041,Riesgo moderado
264,20.8532469,-103.4273029,Poco riesgo
265,20.5727787,-103.3557587,Poco riesgo
266,20.69418526,-103.3529205,Poco riesgo
268,20.67948723,-103.3806458,Poco riesgo
269,20.6893158,-103.3786087,Poco riesgo
270,20.69915962,-103.4524002,Riesgo moderado
271,20.66048241,-103.2773438,Riesgo moderado
272,20.60870171,-103.3153687,Poco riesgo
275,20.63205147,-103.3810043,Poco riesgo
276,20.68908691,-103.308075,Poco riesgo
277,20.64195442,-103.3076477,Poco riesgo
279,20.69570923,-103.2994919,Poco riesgo
280,20.69334221,-103.3607635,Poco riesgo
281,20.68173027,-103.435379,Poco riesgo
282,20.64968109,-103.3163376,Poco riesgo
283,20.60936356,-103.3406601,Poco riesgo
284,20.70283127,-103.3761826,Poco riesgo
286,20.648629,-103.306104,Poco riesgo
287,20.64614868,-103.4061661,Poco riesgo
288,20.65563393,-103.3175583,Poco riesgo
289,20.6918354,-103.415329,Poco riesgo
291,20.6502276,-103.3400989,Riesgo moderado
292,20.7035923,-103.3474503,Poco riesgo
293,20.555522,-103.454044,Poco riesgo
294,20.66218758,-103.3637161,Poco riesgo
295,20.63219261,-103.3676758,Riesgo moderado
296,20.69934464,-103.3550186,Poco riesgo
297,20.766819,-103.4526291,Poco riesgo
298,20.60447884,-103.2768707,Poco riesgo
299,20.67034149,-103.3593597,Poco riesgo
300,20.63021851,-103.4413452,Poco riesgo
301,20.72478676,-103.4189529,Riesgo moderado
302,20.6624771,-103.3607539,Poco riesgo
303,20.62729073,-103.4107437,Poco riesgo
304,20.74594116,-103.3983994,Poco riesgo
305,20.59971619,-103.2864914,Poco riesgo
306,20.62727165,-103.3238373,Poco riesgo
307,20.6694789,-103.4526987,Riesgo moderado
308,20.68035126,-103.2943344,Poco riesgo
309,20.65613747,-103.3726425,Poco riesgo
310,20.66382599,-103.3177338,Poco riesgo
311,20.61774635,-103.4513092,Riesgo moderado
312,20.68844986,-103.2727509,Poco riesgo
313,20.6486187,-103.4577179,Riesgo moderado
314,20.64454651,-103.3846817,Riesgo moderado
315,20.71927261,-103.3538208,Poco riesgo
316,20.6629847,-103.2918445,Poco riesgo
317,20.58906174,-103.3329926,Poco riesgo
318,20.679276,-103.3694505,Poco riesgo
320,20.67141151,-103.3516464,Poco riesgo
321,20.66534805,-103.3720627,Poco riesgo
322,20.7337513,-103.3625031,Poco riesgo
323,20.66856384,-103.2760468,Riesgo moderado
324,20.525013,-103.2522442,Alto riesgo
325,20.74462128,-103.3538818,Poco riesgo
326,20.65535164,-103.3008041,Riesgo moderado
327,20.62725067,-103.2455292,Riesgo moderado
328,20.66417122,-103.2893448,Poco riesgo
329,20.66966248,-103.4312286,Poco riesgo
330,20.62420273,-103.3763046,Riesgo moderado
331,20.68199539,-103.3404083,Poco riesgo
332,20.67337036,-103.4270401,Riesgo moderado
333,20.6683444,-103.3428639,Poco riesgo
334,20.68387604,-103.283783,Poco riesgo
335,20.6529026,-103.2786789,Riesgo moderado
336,20.62694168,-103.2557449,Poco riesgo
337,20.67378426,-103.3153229,Poco riesgo
338,20.68483162,-103.3637009,Poco riesgo
339,20.4957771,-103.2420289,Alto riesgo
340,20.66248512,-103.3327103,Poco riesgo
342,20.64919472,-103.2699814,Riesgo moderado
343,20.63952637,-103.3395462,Riesgo moderado
344,20.71342659,-103.3740311,Poco riesgo
345,20.6553983,-103.3013819,Riesgo moderado
346,20.59567,-103.3259577,Alto riesgo
347,20.535263,-103.2976462,Alto riesgo
348,20.62541962,-103.4337769,Riesgo moderado
349,20.67136574,-103.371582,Sin riesgo
351,20.78166962,-103.4629211,Poco riesgo
352,20.65926743,-103.3560257,Poco riesgo
353,20.67278481,-103.4306183,Riesgo moderado
354,20.62972832,-103.4488678,Poco riesgo
355,20.58480263,-103.3322449,Poco riesgo
356,20.68539238,-103.3234863,Poco riesgo
357,20.676123,-103.3575401,Poco riesgo
358,20.65293121,-103.3434219,Poco riesgo
359,20.6578202,-103.3137223,Poco riesgo
360,20.6166622,-103.4349672,Poco riesgo
361,20.7635297,-103.4383767,Poco riesgo
362,20.6258522,-103.3043618,Poco riesgo
363,20.69367981,-103.3004074,Poco riesgo
364,20.7357235,-103.368103,Riesgo moderado
365,20.64326859,-103.3497162,Poco riesgo
366,20.63546562,-103.3938141,Riesgo moderado
367,20.62727547,-103.2456207,Poco riesgo
368,20.6667586,-103.3746373,Poco riesgo
369,20.72730255,-103.3151932,Poco riesgo
370,20.66643143,-103.3910141,Poco riesgo
371,20.7070961,-103.355072,Poco riesgo
372,20.71122932,-103.2967987,Poco riesgo
373,20.6909256,-103.3063049,Riesgo moderado
374,20.73561668,-103.3666534,Riesgo moderado
375,20.67888832,-103.3688812,Poco riesgo
376,20.54269791,-103.4729767,Alto riesgo
377,20.74044609,-103.364563,Poco riesgo
378,20.54199028,-103.3601303,Riesgo moderado
379,20.72258759,-103.3689804,Riesgo moderado
380,20.50803375,-103.357605,Riesgo moderado
382,20.69380569,-103.3232422,Poco riesgo
383,20.66861725,-103.4097366,Poco riesgo
384,20.72473145,-103.419014,Riesgo moderado
385,20.64844322,-103.2724991,Riesgo moderado
386,20.65515709,-103.3915176,Poco riesgo
388,20.65890884,-103.2508087,Riesgo moderado
389,20.60803032,-103.3280411,Riesgo moderado
390,20.5990448,-103.4373627,Riesgo moderado
391,20.60116959,-103.2394104,Alto riesgo
392,20.6858387,-103.2642822,Riesgo moderado
393,20.6572816,-103.3527674,Poco riesgo
394,20.67724037,-103.3523712,Poco riesgo
395,20.72619438,-103.3695526,Poco riesgo
396,20.68457413,-103.2621307,Poco riesgo
397,20.63098717,-103.3787613,Poco riesgo
399,nan,nan,Alto riesgo
400,20.5968377,-103.4001436,Alto riesgo
