Bicycle_routes,linear_color_weighting,Previous_accidents,Day,Sex,Age_rangue,Hourly_range,Lanes,Speed_limit,Bikeway,Public_transport,Traffic_light,Street_type,vehicle_type,Traffic_variable,Bicycle_routes_cat,predominant_color,diffuse_logic_traffic,label
0,0.264653641,0,Friday,M,50-59,06:00 a 07:59,4,50km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,No,green,B,1
0,0.310785587,2,Friday,M,20-29,20:00 a 21:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,B,0
0,0.304767184,1,Saturday,M,40-49,12:00 a 13:59,4,50km/h,No,Yes,No,Avenue,Private_car,Trafico moderado,No,green,B,0
710,0.347714633,0,Thursday,M,20-29,16:00 a 17:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,Yes,green,MB,0
0,0.25,0,Thursday,M,60-69,14:00 a 15:59,1,50km/h,No,No,No,Street,Passenger_vehicle,Trafico moderado,No,green,B,0
257,0.269619865,1,Monday,M,20-29,12:00 a 13:59,1,40km/h,No,Yes,No,Street,Private_car,Trafico moderado,Yes,green,B,0
0,0.25,0,Tuesday,M,50-59,08:00 a 09:59,1,50km/h,No,No,No,Avenue,Truck,Trafico moderado,No,green,B,0
0,0.368882979,3,Wednesday,M,50-59,06:00 a 07:59,5,60km/h,No,Yes,Yes,Peripheral,Passenger_vehicle,Poco trafico,No,green,MB,0
0,0.276232114,3,Thursday,M,40-49,20:00 a 21:59,5,60km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,No,green,B,0
0,0.426572056,0,Monday,F,20-29,14:00 a 15:59,3,80km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Trafico moderado,No,green,MB,0
1156,0.471069869,1,Tuesday,M,60-69,06:00 a 07:59,2,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Trafico moderado,Yes,orange,MB,0
0,0.288522727,1,Tuesday,M,20-29,22:00 a 23:59,1,50km/h,No,Yes,No,Street,Passenger_vehicle,Poco trafico,No,green,B,0
49,0.477876393,0,Friday,M,0-19,14:00 a 15:59,2,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,Yes,green,MA,0
0,0.25,0,Friday,M,60-69,06:00 a 07:59,2,50km/h,No,Yes,No,Street,Private_car,Poco trafico,No,green,B,0
