id,Coordx,Coordy,cantidad
817,-103.3768845,20.70534706,0
818,-103.1832984,20.5171561,0
819,-103.4560577,20.6224267,0
820,-103.364799,20.6747459,1526
821,-103.3115768,20.68178368,0
822,-103.3638992,20.62043953,0
823,-103.2508087,20.65890884,0
824,-103.4310044,20.9315535,0
825,-103.3291025,20.5508275,0
826,-103.354962,20.6689467,1256
827,-103.320103,20.710082,0
828,-103.3611221,20.66103935,239
829,-103.3526147,20.6481579,0
830,-103.3667678,20.7344391,0
831,-103.391304,20.73988724,5
832,-103.389527,20.641103,0
833,-103.3750687,20.71235085,179
834,-103.4304301,20.5792635,0
835,-103.4530182,20.65556908,0
836,-103.3726507,20.6536989,0
837,-103.3695187,20.6793445,542
838,-103.3737001,20.6645525,135
839,-103.3412511,20.512868,0
840,-103.374344,20.6218282,0
841,-103.3239455,20.5951104,0
