id,Bicycle_routes,linear_color_weighting,Previous_accidents,Day,Sex,Age_rangue,Hourly_range,Lanes,Speed_limit,Bikeway,Public_transport,Traffic_light,Street_type,vehicle_type,Traffic_variable,Bicycle_routes_cat,predominant_color,diffuse_logic_traffic,label
275,0,0.328767123,0,Monday,M,50-59,08:00 a 09:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Trafico moderado,No,green,B,1
276,0,0.324545672,1,Monday,F,20-29,08:00 a 09:59,3,50km/h,No,Yes,Yes,Street,,Poco trafico,No,green,MB,0
277,49,0.25,0,Monday,M,50-59,06:00 a 07:59,1,50km/h,No,No,No,Street,Bicycle,Poco trafico,Yes,green,B,0
279,0,0.35609879,1,Sunday,M,0-19,22:00 a 23:59,1,50km/h,No,No,No,Street,Private_car,Poco trafico,No,green,MB,0
280,146,0.358218962,0,Sunday,M,50-59,10:00 a 11:59,1,50km/h,No,Yes,No,Avenue,Truck,Trafico moderado,Yes,green,MB,0
281,0,0.375614787,0,Tuesday,M,60-69,10:00 a 11:59,4,50km/h,No,Yes,Yes,Avenue,Private_car,Trafico moderado,No,green,MB,0
282,25,0.287584628,0,Saturday,M,60-69,20:00 a 21:59,1,50km/h,No,No,No,Avenue,Private_car,Poco trafico,Yes,green,B,0
283,0,0.280050826,2,Saturday,M,0-19,0:00 a 01:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,B,0
284,0,0.383733456,0,Wednesday,F,,14:00 a 15:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Trafico moderado,No,green,MB,0
286,38,0.311227913,0,Thursday,M,30-39,16:00 a 17:59,3,50km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,Yes,green,B,0
287,0,0.293288129,3,Friday,M,40-49,20:00 a 21:59,4,50km/h,No,Yes,Yes,Avenue,,Poco trafico,No,green,B,1
288,92,0,0,Monday,M,30-39,22:00 a 23:59,4,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Poco trafico,Yes,green,B,0
289,0,0.357729332,0,Tuesday,M,20-29,14:00 a 15:59,3,50km/h,No,Yes,Yes,Avenue,Multiple_collision,Poco trafico,No,green,MB,0
