id,Coordy,Coordx,riesgo,Probabilidad_Clase_0,Probabilidad_Clase_1,riesgoFormula
111,20.6429463,"-103.303624,",Poco riesgo,0.418210852,0.581789148,Poco riesgo
112,20.6967754,-103.3005748,Poco riesgo,0.4915053,0.5084947,Poco riesgo
113,20.6352592,-103.3259251,Poco riesgo,0.477540119,0.522459881,Poco riesgo
114,20.483554,-103.4978657,Alto riesgo,0.904268616,0.095731384,Alto riesgo
115,20.6847856,-103.2914086,Poco riesgo,0.485128234,0.514871766,Poco riesgo
116,20.6663525,-103.3341595,Poco riesgo,0.402477952,0.597522048,Poco riesgo
117,20.7093248,-103.3890657,Poco riesgo,0.4915053,0.5084947,Poco riesgo
118,20.6509746,"-103.332438,",Poco riesgo,0.349561157,0.650438843,Poco riesgo
119,20.6286346,"-103.350133,",Poco riesgo,0.48143415,0.51856585,Poco riesgo
120,20.7375387,-103.3215787,Poco riesgo,0.420666266,0.579333734,Poco riesgo
121,20.7255023,-103.3370365,Alto riesgo,0.810675459,0.189324541,Alto riesgo
122,20.576805,-103.35767,Riesgo moderado,0.573334254,0.426665746,Riesgo moderado
123,20.614507,-103.3188846,Riesgo moderado,0.70418715,0.29581285,Riesgo moderado
124,20.6446146,-103.2848657,Poco riesgo,0.477540119,0.522459881,Poco riesgo
125,20.6092875,-103.3405753,Riesgo moderado,0.538423262,0.461576738,Riesgo moderado
126,20.6971178,-103.3654329,Poco riesgo,0.349561157,0.650438843,Poco riesgo
127,20.6313189,-103.4370352,Riesgo moderado,0.520682248,0.479317752,Riesgo moderado
128,20.592811,-103.283664,Alto riesgo,0.922289909,0.077710091,Alto riesgo
130,20.6523825,-103.2217673,Riesgo moderado,0.605692313,0.394307687,Riesgo moderado
131,20.7276695,-103.3709199,Riesgo moderado,0.605692313,0.394307687,Riesgo moderado
132,20.6298149,-103.4606009,Riesgo moderado,0.605692313,0.394307687,Riesgo moderado
134,20.697506,-103.3938532,Poco riesgo,0.423276146,0.576723854,Poco riesgo
135,20.6793828,-103.3405585,Poco riesgo,0.356503314,0.643496686,Poco riesgo
137,20.641932,-103.352115,Poco riesgo,0.361770781,0.638229219,Poco riesgo
138,20.6301211,-103.4458201,Poco riesgo,0.4915053,0.5084947,Poco riesgo
139,20.6754402,-103.3023406,Poco riesgo,0.303295778,0.696704222,Poco riesgo
140,20.693273,-103.455583,Alto riesgo,0.849367522,0.150632478,Alto riesgo
141,20.6171187,-103.3440653,Poco riesgo,0.477540119,0.522459881,Poco riesgo
142,20.480781,-103.5020212,Alto riesgo,0.904268616,0.095731384,Alto riesgo
143,20.588703,-103.265658,Poco riesgo,0.428542833,0.571457167,Poco riesgo
144,20.609037,-103.327006,Alto riesgo,0.863528345,0.136471655,Alto riesgo
145,20.666406,-103.390994,Poco riesgo,0.431875213,0.568124787,Poco riesgo
146,20.712306,-103.375139,Poco riesgo,0.36437787,0.63562213,Poco riesgo
147,20.758569,-103.441173,Riesgo moderado,0.605692313,0.394307687,Riesgo moderado
148,20.475415,-103.2678632,Alto riesgo,0.904268616,0.095731384,Alto riesgo
149,20.6965182,"-103.355071,",Poco riesgo,0.254389663,0.745610337,Poco riesgo
150,20.5969362,-103.4382889,Riesgo moderado,0.705396274,0.294603726,Riesgo moderado
151,20.605056,-103.337167,Riesgo moderado,0.671163645,0.328836355,Riesgo moderado
153,20.740139,-103.387444,Poco riesgo,0.455199772,0.544800228,Poco riesgo
155,20.66650772,-103.2976608,Riesgo moderado,0.534543433,0.465456567,Riesgo moderado
156,20.7044818,-103.3486085,Poco riesgo,0.294427655,0.705572345,Poco riesgo
157,20.64753342,-103.2612381,Riesgo moderado,0.6587064,0.3412936,Riesgo moderado
158,20.68159103,-103.3186646,Poco riesgo,0.485128234,0.514871766,Poco riesgo
159,20.6839064,"-103.369443,",Poco riesgo,0.311055433,0.688944567,Poco riesgo
161,20.67280388,-103.3495865,Poco riesgo,0.258496832,0.741503168,Poco riesgo
162,20.588083,-103.38327,Riesgo moderado,0.628027073,0.371972927,Riesgo moderado
163,20.70370674,-103.323494,Riesgo moderado,0.550068228,0.449931772,Riesgo moderado
164,20.62952423,-103.4069672,Riesgo moderado,0.550068228,0.449931772,Riesgo moderado
165,20.66524506,-103.3330307,Poco riesgo,0.353116935,0.646883065,Poco riesgo
166,20.69374847,-103.3098602,Poco riesgo,0.442288139,0.557711861,Poco riesgo
169,20.641287,-103.409173,Poco riesgo,0.493163463,0.506836537,Poco riesgo
170,20.65996361,-103.2776489,Poco riesgo,0.48143415,0.51856585,Poco riesgo
171,20.56864738,-103.3652344,Poco riesgo,0.354301333,0.645698667,Poco riesgo
172,20.6276989,-103.4608459,Riesgo moderado,0.563865317,0.436134683,Riesgo moderado
173,20.66896629,-103.3068771,Poco riesgo,0.428542833,0.571457167,Poco riesgo
174,20.67248344,-103.4228973,Poco riesgo,0.4915053,0.5084947,Poco riesgo
175,20.673968,-103.295623,Riesgo moderado,0.548425765,0.451574235,Riesgo moderado
176,20.6271458,-103.4606734,Poco riesgo,0.421657474,0.578342526,Poco riesgo
177,20.62933159,-103.455246,Poco riesgo,0.408084183,0.591915817,Poco riesgo
178,20.65958405,-103.3045502,Poco riesgo,0.413297306,0.586702694,Poco riesgo
179,20.70246506,-103.3596115,Poco riesgo,0.29958749,0.70041251,Poco riesgo
180,20.68489265,-103.3671112,Poco riesgo,0.356503314,0.643496686,Poco riesgo
181,20.61882591,-103.2481308,Poco riesgo,0.315925279,0.684074721,Poco riesgo
182,20.67231369,-103.3335648,Poco riesgo,0.292883662,0.707116338,Poco riesgo
183,20.63059998,-103.3551712,Riesgo moderado,0.550068228,0.449931772,Riesgo moderado
184,20.641565,-103.3637293,Poco riesgo,0.477540119,0.522459881,Poco riesgo
185,20.67379631,-103.3472404,Poco riesgo,0.292883662,0.707116338,Poco riesgo
186,20.71927261,-103.3538208,Poco riesgo,0.461345155,0.538654845,Poco riesgo
187,20.7185955,-103.3455963,Alto riesgo,0.863528345,0.136471655,Alto riesgo
188,20.7180709,-103.3453754,Poco riesgo,0.424924024,0.575075976,Poco riesgo
189,20.6793499,-103.2482681,Riesgo moderado,0.6587064,0.3412936,Riesgo moderado
190,20.64132,-103.43288,Riesgo moderado,0.550068228,0.449931772,Riesgo moderado
191,20.5554006,-103.4282501,Alto riesgo,0.926204168,0.073795832,Alto riesgo
192,20.728692,-103.566876,Alto riesgo,0.904268616,0.095731384,Alto riesgo
193,20.72685653,-103.3411927,Riesgo moderado,0.586953623,0.413046377,Riesgo moderado
194,20.65880966,-103.4476471,Poco riesgo,0.444313811,0.555686189,Poco riesgo
195,20.70240402,-103.3325653,Poco riesgo,0.485128234,0.514871766,Poco riesgo
196,20.66607857,-103.4502945,Alto riesgo,0.775706806,0.224293194,Alto riesgo
197,20.65722656,-103.3510361,Poco riesgo,0.362379611,0.637620389,Poco riesgo
199,20.7280023,-103.4020532,Riesgo moderado,0.671163645,0.328836355,Riesgo moderado
200,20.68318367,-103.3240051,Poco riesgo,0.306004098,0.693995902,Poco riesgo
201,20.72800255,-103.4009552,Riesgo moderado,0.671163645,0.328836355,Riesgo moderado
202,20.67277908,-103.3506775,Poco riesgo,0.25084485,0.74915515,Poco riesgo
203,20.66270447,-103.4312592,Riesgo moderado,0.605692313,0.394307687,Riesgo moderado
204,20.68212128,-103.3345337,Poco riesgo,0.292883662,0.707116338,Poco riesgo
205,20.67612076,-103.2318268,Riesgo moderado,0.59796679,0.40203321,Riesgo moderado
206,20.71002579,-103.4401398,Poco riesgo,0.276676437,0.723323563,Poco riesgo
207,20.59001541,-103.28508,Poco riesgo,0.420666266,0.579333734,Poco riesgo
208,20.66426086,-103.3246307,Poco riesgo,0.259770489,0.740229511,Poco riesgo
209,20.67591286,-103.3034515,Poco riesgo,0.372214727,0.627785273,Poco riesgo
210,20.6716938,-103.3642807,Sin riesgo,0.204313757,0.795686243,Sin riesgo
211,20.622379,-103.246964,Sin riesgo,0.128112267,0.871887733,Sin riesgo
212,20.629382,-103.3870952,Riesgo moderado,0.550068228,0.449931772,Riesgo moderado
213,20.6647719,-103.3055209,Poco riesgo,0.421115888,0.578884112,Poco riesgo
214,20.69872475,-103.3332825,Poco riesgo,0.48143415,0.51856585,Poco riesgo
216,20.64975357,-103.4003983,Riesgo moderado,0.507142039,0.492857961,Riesgo moderado
217,20.67811584,-103.3593521,Poco riesgo,0.349561157,0.650438843,Poco riesgo
218,20.62159348,-103.3524475,Poco riesgo,0.420666266,0.579333734,Poco riesgo
219,20.68687439,-103.3636246,Sin riesgo,0.086076607,0.913923393,Sin riesgo
221,20.59473038,-103.3296814,Riesgo moderado,0.59796679,0.40203321,Riesgo moderado
222,20.584494,-103.33219,Poco riesgo,0.49497731,0.50502269,Poco riesgo
223,20.65041733,-103.3669128,Poco riesgo,0.343368748,0.656631252,Poco riesgo
225,20.6882019,-103.4269791,Riesgo moderado,0.692232321,0.307767679,Riesgo moderado
226,20.67051315,-103.3462524,Poco riesgo,0.416597559,0.583402441,Poco riesgo
227,20.60628128,-103.3377228,Poco riesgo,0.499103335,0.500896665,Poco riesgo
228,20.62371635,-103.437355,Riesgo moderado,0.550068228,0.449931772,Riesgo moderado
229,20.645389,-103.299444,Poco riesgo,0.403073629,0.596926371,Poco riesgo
230,20.62887383,-103.3602142,Poco riesgo,0.428542833,0.571457167,Poco riesgo
231,20.5988884,-103.3347092,Poco riesgo,0.485128234,0.514871766,Poco riesgo
233,20.66423607,-103.2810059,Riesgo moderado,0.609412427,0.390587573,Riesgo moderado
234,20.72299576,-103.324501,Poco riesgo,0.485128234,0.514871766,Poco riesgo
235,20.62438393,-103.3771744,Sin riesgo,0.157910615,0.842089385,Sin riesgo
236,20.64693451,-103.3211517,Poco riesgo,0.349561157,0.650438843,Poco riesgo
237,20.7130126,-103.4591241,Poco riesgo,0.4915053,0.5084947,Poco riesgo
238,20.744482,-103.44742,Poco riesgo,0.427089405,0.572910595,Poco riesgo
239,20.743657,-103.447796,Riesgo moderado,0.563865317,0.436134683,Riesgo moderado
240,20.6322395,-103.3679256,Riesgo moderado,0.563865317,0.436134683,Riesgo moderado
241,20.74332237,-103.4194641,Riesgo moderado,0.534543433,0.465456567,Riesgo moderado
